sum_name_new,gender,hand,age,group_list,num_problems,num_accurate,acc_prec,avg_RT_first,avg_correct_RT_first,sum_num_add_corr,sum_num_sub_corr,sum_num_mult_corr,sum_num_div_corr,acc_add,acc_sub,acc_mult,acc_div,RT_add_corr,RT_sub_corr,RT_mult_corr,RT_div_corr,mean_corr_phon,mean_num_sem,mean_corr_sem,num_corr_lit_math,Inhibit score,Shift score,Emotional Control score,Self-Monitor score,Initiate score,Working Memory score,Plan/Organize score,Org. of Materials score,Task Monitor score,BRI score,MI Score,GEC score
Old_Participant1,male,right,70,old,64,62,96.875,1.91490625,1.908274194,13,13,19,17,100,92.85714286,95,100,1.660615385,1.821769231,1.961368421,2.104470588,10.33333333,14.66666667,14.66666667,42,11,6,12,6,9,10,10,13,8,35,50,85
Old_Participant10,female,left,69,old,37,31,83.78378378,3.174189189,3.202451613,8,5,5,13,88.88888889,71.42857143,62.5,100,2.894125,3.3994,3.4416,3.224461538,5.666666667,10,10,33,12,11,12,6,13,10,11,15,11,41,60,101
Old_Participant11,female,right,69,old,57,55,96.49122807,1.849298246,1.8318,15,11,15,14,100,91.66666667,100,93.33333333,1.653666667,1.946454545,1.839266667,1.924571429,14.66666667,19.33333333,19.33333333,49,10,6,17,5,9,8,10,9,8,38,44,82
Old_Participant12,female,left,71,old,52,50,96.15384615,2.491384615,2.51294,8,13,12,17,100,86.66666667,100,100,1.548,1.970538462,2.523416667,3.374411765,15.66666667,22.66666667,22,40,9,6,10,5,8,8,10,8,6,30,40,70
Old_Participant13,male,right,70,old,59,59,100,1.893050847,1.893050847,17,7,16,19,100,100,100,100,1.620117647,2.009,2.0100625,1.996,9.333333333,13.66666667,13.66666667,42,9,6,11,5,8,10,10,9,8,31,45,76
Old_Participant14,female,right,69,old,61,57,93.44262295,2.056901639,2.057842105,18,14,11,14,94.73684211,93.33333333,91.66666667,93.33333333,1.795277778,2.113714286,2.055727273,2.341214286,14,18.66666667,18,43,11,7,11,6,10,11,12,15,8,35,56,91
Old_Participant15,male,right,67,old,56,52,92.85714286,1.941160714,1.925673077,17,10,11,14,100,90.90909091,78.57142857,100,1.627,1.8642,1.932181818,2.327142857,14.66666667,17.33333333,16.66666667,46,13,7,18,8,14,13,13,16,10,46,66,112
Old_Participant16,female,left,66,old,43,41,95.34883721,2.948093023,2.853121951,6,12,11,12,100,100,84.61538462,100,2.770666667,2.665,2.443363636,3.458083333,8,19.33333333,19,39,9,7,11,6,8,8,11,8,7,33,42,75
Old_Participant17,male,right,69,old,57,56,98.24561404,2.143929825,2.129267857,14,13,13,16,100,100,92.85714286,100,1.893642857,2.216153846,2.161692308,2.2385,12.66666667,23.33333333,23,44,13,11,16,7,9,10,11,9,10,47,49,96
Old_Participant18,female,right,74,old,51,48,94.11764706,2.103686275,2.130770833,14,10,14,10,93.33333333,100,87.5,100,1.751357143,2.0877,2.415928571,2.3058,14,18,17.66666667,45,10,9,13,6,11,9,11,9,8,38,48,86
